Model,Val_MAE,Val_RMSE,Val_R2,Val_MAPE_%,Test_MAE,Test_RMSE,Test_R2,Test_MAPE_%
Persistence,1.2651009237644681,3.3131465374304465,-0.0023488807011109447,1.4259069856795705,1.3263426153996825,3.854265619393644,-0.004032422140733516,1.553301657432372
Linear Regression,1.1385156148906743,2.3151332083655856,0.5105711234728061,1.2241890932871677,1.2272218034262254,2.6441750572730904,0.527453159817014,1.348195512280033
Random Forest,0.84678965218596,2.0251493565693504,0.6255000734019481,0.8953968656292879,0.9889364190125439,2.2145374553745976,0.6685404661174923,1.0518319055822374
XGBoost,0.8415755444992903,1.9906927193260213,0.6381354193361884,0.890306781480319,0.9189944902441549,2.1553275920954396,0.6860279182385981,0.9776455704432385
LightGBM,0.8348958460980986,1.908309803393647,0.6674665156583008,0.8845606030921755,0.8136226940665869,2.0192903986577693,0.7244109132011767,0.8748955151143103
