Model,Test_mean_residual,Test_std_residual,Test_skewness,Test_kurtosis,Test_min_residual,Test_max_residual
Persistence,-0.24425910854963867,3.8465180296900225,-7.754951522742266,68.7455684625694,-39.1585627804227,0.8414372195773012
Linear Regression,0.15614203241823466,2.6395608345362023,-5.68431378476845,52.960111794011745,-32.701811106656464,24.75303999719455
Random Forest,0.31981038232251696,2.191323221392892,-3.6025125327303935,55.321746884766135,-34.01782397764731,23.013301088695876
XGBoost,0.32200210725682854,2.13113858586674,-3.416594729948105,62.95282553693285,-33.97169231266571,25.858759957322448
LightGBM,0.12714528302899633,2.015283551045592,-5.2371641466323675,75.34387023719583,-33.69096540724854,24.0147601944554
