Model_Architecture,Category,Val_MAE_%,Val_RMSE_%,Val_R2,Test_MAE_%,Test_RMSE_%,Test_R2,Test_MAPE_%
Persistence,Data-Driven Baseline,1.2651009237644681,3.3131465374304465,-0.0023488807011109447,1.3263426153996825,3.854265619393644,-0.004032422140733516,1.553301657432372
Linear Regression,Data-Driven Baseline,1.1385156148906743,2.3151332083655856,0.5105711234728061,1.2272218034262254,2.6441750572730904,0.527453159817014,1.348195512280033
Random Forest,Data-Driven Baseline,0.8467896521859583,2.0251493565693504,0.6255000734019481,0.9889364190125468,2.214537455374598,0.6685404661174921,1.0518319055822405
XGBoost,Data-Driven Baseline,0.8415755444992903,1.9906927193260213,0.6381354193361884,0.9189944902441549,2.1553275920954396,0.6860279182385981,0.9776455704432385
LightGBM,Data-Driven Baseline,0.8348958460980986,1.908309803393647,0.6674665156583008,0.8136226940665869,2.0192903986577693,0.7244109132011767,0.8748955151143103
PINN (Standalone),Physics-Informed Neural Network,1.1351403266901596,2.956394549281675,0.20189063648551753,1.2837750555398735,3.654268757021726,0.09746214855195423,1.4831988413542991
PINN + EKF (Coupled),Physics-Informed State Observer,7.265537964471777,8.35036890176045,-5.367206638473045,7.1118767085363865,8.425210409447121,-3.79762132731918,7.3274227296108165
