hours_bin,mean_v_actual,mean_v_expected,mean_residual,std_residual,median_residual,sample_count,mean_current,SoH_percent
72000.0,347.82772277227724,348.1486458314322,-0.32092305915492775,8.033882383856934,-0.24039359710008057,505,51.53465346534654,99.90633061254006
73000.0,344.7509578544061,345.28019260421723,-0.5292347498111141,6.657900911840504,0.10105069939919531,783,63.59514687100894,99.84552965758253
74000.0,337.66575567094833,337.68055846651544,-0.014802795567079623,5.453851968174755,-0.13835677998582696,3659,76.20989341350095,99.9956794354475
75000.0,339.95234333859923,339.79207469034225,0.16026864825703935,6.919631860280448,0.496763009867351,7596,77.70405476566614,100.04677839651286
76000.0,342.26347811390906,342.16118344074766,0.10229467316137632,9.394354953798768,0.6044949624713354,5917,70.78451918201792,100.02985724802909
77000.0,344.3205342237062,344.790729338247,-0.47019511454080415,8.394401350254329,0.46310090523593317,1797,66.86199220923761,99.86276184552874
78000.0,342.3732736095558,342.40819856192974,-0.03492495237390865,9.682082133650361,0.4304970659342757,8037,75.0059723777529,99.98980628283756
79000.0,342.4989749897499,342.5004363725909,-0.00146138284101396,7.714689465458278,0.09526721792167336,7317,75.98701653683203,99.99957345902185
80000.0,342.02009950248754,342.124334864152,-0.10423536166442779,10.02627706774881,0.2776569900104846,5025,76.77373134328359,99.96957631369811
85000.0,342.9441860465116,346.1142448822583,-3.170058835746659,18.174907489400614,-0.02612477890977516,645,67.27906976744185,99.0747393779111
86000.0,343.3705548874764,344.65501449239747,-1.284459604921102,8.964335185218937,-0.6838447447365752,5821,68.93506270400275,99.62509847461004
87000.0,342.2269097483803,342.7782846659835,-0.5513749176032365,6.9434235784998535,-0.2677671797208063,6637,69.3575410577068,99.83906749820761
88000.0,341.03967871485946,341.55969956525627,-0.5200208503968674,6.497187556414403,-0.27642089085435373,6225,71.56144578313253,99.84821896360037
89000.0,341.9041660937715,342.03624100482926,-0.13207491105775307,7.117418476744949,0.04335127272736372,7273,70.36037398597553,99.96145064785877
90000.0,344.7482290436836,344.4124315549803,0.3357974887033028,7.032613060440275,0.53498154123875,6776,68.11762101534829,100.09801086017393
91000.0,342.7505144032922,343.1689679017192,-0.4184534984270388,6.518465475880822,-0.23917939089020024,7776,68.85558127572017,99.87786392482565
92000.0,342.56369770580295,342.4433266467525,0.1203710590504679,7.7717074642336375,-0.09095758824460631,7410,68.1497975708502,100.0351332914464
93000.0,342.24455760662,342.6335390987837,-0.3889814921637107,8.892192978486673,-0.010524420329886652,7855,67.55213239974539,99.88646606385913
94000.0,343.6818026045236,344.80789870700613,-1.1260961024824652,11.246003409131534,-0.8661491397791394,5836,63.376970527758736,99.6713208068678
95000.0,344.7188796680498,345.5887748289104,-0.8698951608606176,7.729934505033935,-0.3984236900738267,5784,66.38381742738589,99.74609943240992
96000.0,345.19466743119267,346.04050698200837,-0.8458395508156966,8.022200538549205,-0.33331733925359686,6976,65.96961009174312,99.75312066131076
97000.0,347.0047393364929,348.17532038487565,-1.1705810483827925,9.246743289017578,-0.3919373505358976,1266,65.65244865718799,99.65833676750134
98000.0,340.52092177077014,342.39807204304105,-1.8771502722708568,8.202698553400035,-1.2162152313519243,3298,71.51334141904185,99.45210694227806
99000.0,343.87064896755163,345.01542220309625,-1.1447732355446099,9.002464497621368,-0.874489711299816,6780,66.65088495575222,99.6658694204263
100000.0,342.22397277539704,343.7160336853232,-1.4920609099262323,10.7098327117817,-1.378672400819056,7934,69.16738089236199,99.56450486339705
101000.0,341.8434981354505,342.7418620115947,-0.8983638761442143,10.050575662732797,-1.4380905575069391,8313,69.64345001804402,99.73779012883601
102000.0,345.37090315883137,346.41151928243204,-1.0406161236007105,8.095461974595095,-1.639622848649708,6743,64.65890553166247,99.69627026759844
103000.0,341.2877748214536,343.17428453481534,-1.8865097133617645,7.990068946664865,-1.4473371780385946,7141,71.50665172944966,99.44937515629715
104000.0,347.5500770416025,349.32271206689114,-1.7726350252887062,10.377224661760053,-0.5907012324188372,3245,61.003389830508475,99.48261232008052
106000.0,341.8628762541806,343.0684506474356,-1.205574393255021,7.627913209286172,-1.3253896580247329,1495,67.40602006688964,99.64812308828493
107000.0,342.6106696935301,344.08721014124825,-1.4765404477181663,8.104066244217911,-1.4780927951040894,7048,64.94097616345063,99.56903489683233
108000.0,344.37611940298507,345.2842933900793,-0.908173987094207,10.986927080131377,-0.61794653873892,670,56.08955223880597,99.7349268036327
